sarga,shloka#,Shloka
3,50,अथ कदाचन सोऽध्ययनान्तरे तमवदत् कुपितोऽन्यमनस्विनम् ।<BR> पठसि नो शठ ते सखिभिः समं किमिति नित्यमुदासितधीरिति ॥ ५० ॥
3,51,गुणनिका चरणादिकगोचरा न मम हृद्दयितेत्युदितेऽमुना ।<BR> वद विशारदवाद यथेप्सितं त्वमुपरीत्यवदद्धरणीसुरः॥ ५१ ॥
3,52,सकललक्षणशिक्षणमूलभूः श्रुतिसमामननं स्खलनोज्खितम् ।<BR> न खलु केवलमस्य गुरोर्व्यधात् सुमनसामपि तत्र कुतूहलम्॥५२॥
3,53,प्रियवयस्यशिरोगुरुवेदनामशमयत् सहजामपि दुःसहाम् ।<BR> स विपिने विजने मुखवायुना श्रवणगोचरितेन कदाचन॥ ५३ ॥
3,54,अधिगतोपनिषच्च सकृच्छता प्रकटभागवतीति न विस्मयः ।<BR> अधिगता ननु जात्वपि न श्रुताः प्रतिभया श्रुतयः शतशोऽमुना ॥ ५४॥
3,55,साक्षादथोपनिषदो विभुरैतरेय्याः पाठच्छलेन विजनेऽर्थरसान् ब्रुवाणः ।<BR> अध्यापकाय विततार विमोक्षबीजं गोविन्दभक्तिमुचितां गुरुदक्षिणां सः॥५५॥
3,56,अयि स्वामिन् दुष्टान् दमय दमय व्यक्तमचिराद् गुणान् गूढान् विष्णोः कथय कथय स्वान् प्रमदयन् ।
3,57,तदाऽऽनन्दं तन्वन्निति सुमनसां सोऽनुसरता- मनुज्ञामादत्त त्रिभुवनगुरुर्ब्राह्मणगुरोः ॥ ५६ ॥
4,1,अथैष सल्लोकदयासुधार्द्रया सदागमस्तेन निरासकामया ।<BR> रमावरावासभुवा विशारदो विशालयाऽचिन्तयदात्मनो धिया॥१॥
4,2,अनन्यसङ्गाद्गुणसङ्गिता हरेर्जनस्य मानं तु विशिष्टचेष्टितम् ।<BR> असङ्गमस्मात्प्रकटीकरोम्यहं निजं भजन् पारमहंस्यमाश्रमम्॥ २ ॥
4,3,मम प्रभोर्नापरथा हि शोभते द्विषत्सु विष्णुं यददण्डधारणम् ।<BR> हरिस्वसा नन्वचिरादसद्भिदे भवेदतो नास्मि च दण्डधारकः॥ ३ ॥
4,4,विचिन्तयन्नित्थमनन्तचिन्तकः समस्तसन्यासनिबद्धनिश्चयः ।<BR> असावनुज्ञार्थमथानमद्धरिं समस्तसंव्यापिनमात्मदायगम्॥ ४ ॥
4,5,निजे जने किं नमसीति पृच्छति ब्रुवन् स्ववस्तुप्रणतिं व्यधामिति ।<BR> गुरोः किलान्वेषणवान् जगद्गुरुस्तदा जगामाखिललोकशिक्षकः॥५॥
4,6,यतिर्यतात्मा भुवि कश्चनाभवद्विभूषणो भूरिविरक्तिभूषणः ।<BR> न नाममात्राच्छुचिमर्थतोऽपि यं जनोऽच्युतप्रेक्षमुदाहरत्स्फुटम् ॥६॥
4,7,पुरैष कृष्णाकरसिद्धशुद्धिमद्वरान्नभुक्त्या किल पाण्डवालये ।<BR> विशोधितात्मा मधुकृत्प्रवृत्तिमांश्चचार कांश्चित् परिवत्सरान् मुदा ॥ ७ ॥
4,8,अभूत्कुशास्त्राभ्यसनं न पातकं क्रमागताद्विप्रतिसारतो यतेः ।<BR> यथा कुशस्त्राध्यसनं मुरद्विषः पदाम्बुजे व्याधवरस्य गर्हितम्॥ ८॥
4,9,विनीतमाम्नायशिरोविशारदं सदैव तत्त्वं प्रबुभुत्सुमादरात् ।<BR> गुरुर्विदित्वोपगतां निजां मृतिं कदाचिदूचे तमुपह्वरे गिरम्॥ ९ ॥
4,10,अहं स्वयं ब्रह्म न किञ्चिदस्ति मत्परं विजृम्भेत यदा स्फुटं चितिः ।<BR> इतीह मायासमयोपपादितं निरन्वयं सुव्रत मा स्म विश्वसीः॥१०॥
4,11,यदेतदात्मैक्यमुपास्तिचोदितं न मे गुरोरप्यपरोक्षतां गतम् ।<BR> पुरातनानामपि सौम्य कुत्रचित् ततो मुकुन्दं भज संविदे मुदा ॥ ११ ॥
4,12,इतीदमादिश्य वचो वचस्विनि स्वके गुरौ लोकमथान्यमीयुषि ।<BR> असेवतालोच्य मुहुर्गुरोर्गिरं स रूप्यपीठालयमिन्दिरावरम्॥ १२ ॥
4,13,सुभक्तिना तेन स भक्तवत्सलो निषेवितस्तत्र परं बुभुत्सुना ।<BR> भविष्यतः शिष्यवराद्धि विद्धि मामिति प्रविष्टः पुरुषं तमभ्यधात् ॥ १३॥
4,14,प्रतीक्षमाणं तमनुग्रहं मुदा निषेवमाणं पुनरम्बुजेक्षणम् ।<BR> सतां गुरुः कारणमानुषाकृतिर्यतिं प्रशान्तं तमुपाससाद सः॥ १४॥
4,15,सुतं यतीन्द्रानुचरं विरागिणं निशम्य संन्यासनिबद्धमानसम् ।<BR> सुवत्सलौ रूप्यतलालयस्थितं वियोगतान्तौ पितरौ समीयतुः ॥ १५ ॥
4,16,वराश्रमस्ते जरतोरनाथयोर्न जीवतोः स्यादयि नन्दनावयोः ।<BR> सयाचनं वाक्यमुदीर्य ताविदं परीत्य पुत्राय नतिं वितेनतुः॥ १६ ॥
4,17,नतिर्न शुश्रूषुजनाय शस्यते नतं भवद्भ्यां स्फुटमत्र साम्प्रतम् ।<BR> अहो विधात्रा स्वयमेव दापिता तदभ्यनुज्ञेति जगाद स प्रभुः ॥ १७ ॥
4,18,अनुत्तरज्ञः स तमर्थयन् पुनर्यतीन्द्रमानम्य गतः प्रियायुतः ।<BR> गृहे वसन् कल्पसमान् क्षणान्नयन् सुताननेन्दोरनिशं ततोऽस्मरत् ॥१८।
4,19,स चिन्तयन् पुत्रमनोरथं शुचा पुनश्च तीर्त्वोपगतो महानदीम् ।<BR> यतीश्वरानुव्रतमात्मनन्दनं तमैक्षत ग्रामवरे मठान्तरे॥ १९ ॥
4,20,स जातकोपाकुलितो धरासुरो महात्मनां लङ्घनभीरुरप्यलम् ।<BR> सुतस्य कौपीनधृतौ हि साहसप्रतिश्रवो मे दृढ इत्यभाषत॥ २० ॥
4,21,क्षणेन कौपीनधरो निजं पटं विदार्य हे तात कुरुष्व साहसम् ।<BR> इतीममुक्त्वा प्रभुरब्रवीत् पुनः शुभान्तरायं न भवांश्चरेदिति॥२१॥
4,22,न पुत्र पित्रोरवनं विना शुभं वदन्ति सन्तो ननु तौ सुतौ मृतौ ।<BR> निवर्तमाने न हि पालकोऽस्ति नौ त्वयीति वक्तारममुं सुतोऽब्रवीत् ॥२२॥
4,23,यदा विरक्तः पुरुषः प्रजायते तदैव संन्यासविधिः श्रुतौ श्रुतः ।<BR> न सङ्गहीनोऽपि परिव्रजामि वामहं तु शुश्रूषुमकल्पयन्निति॥ २३ ॥
4,24,बहुश्रुतत्वाद्यदि तत्सहे बलान्न सा सवित्री विरहं सहेत ते ।<BR> इति द्विजेनाभिहितेऽनमत्स तं भवाननुज्ञां प्रददात्विति ब्रुवन् ॥ २४॥
4,25,विचिन्त्य विद्वान् स निरुत्तरीकृतस्तथाऽस्तु माताऽनुवदेद्यदीति तम् ।<BR> उदीर्य कृच्छ्रादुपगम्य मन्दिरं प्रियासकाशे तमुदन्तमब्रवीत् ॥ २५ ॥
4,26,निशाचरारेरिव लक्ष्मणः पुरा वृकोदरस्येव सुरेन्द्रनन्दनः ।<BR> गदोऽथ शौरेरिव कर्मकृत् प्रियः सुभक्तिमान् विश्वविदोऽनुजोऽभवत् ॥२६॥
4,27,कदाचिदाप्यालयबुद्धिरालयं निवेदयन् पालकमेनमेतयोः ।<BR> दृढस्वसंन्यासनिषेधनिश्चयां धवानुमत्येदमुवाच मातरम्॥ २७ ॥
4,28,वराश्रमाप्तिं मम संवदस्व मां कदाचिदप्यम्ब यदीच्छसीक्षितुम् ।<BR> यदन्यथा देशमिमं परित्यजन्न जातु दृष्टेर्विषयो भवामि वः॥२८॥
4,29,इति ब्रुवाणे तनये कदाचिदप्यदर्शनं तस्य मृतेर्निदर्शनम् ।<BR> विचिन्त्य पर्याकुलिता चिकीर्षितं सुतस्य कृच्छ्रान्न्यरुणन्न सा शुभा ॥ २९ ॥
4,30,अथोपगम्यैष गुरुं जगद्गुरुः प्रसाद्य तं देववरप्रसादितः ।<BR> सदा समस्ताश्रमभाक् सुरेश्वरो विशेषतः खल्वभजद्वराश्रमम् ॥ ३० ॥
4,31,क्रियाकलापं सकलं स कालविद्विधानमार्गेण विधाय केवलम् ।<BR> सदा प्रसन्नस्य हरेः प्रसत्तये मुहुः समस्तन्यसनं समभ्यधात् ॥ ३१ ॥
4,32,अनन्तमात्रान्तमुदाहरन्ति यं त्रिमात्रपूर्वं प्रणवोच्चयं बुधाः ।<BR> तदाऽभवद्भाविचतुर्मुखाकृतिर्जपाधिकारी यतिरस्य सूचितः॥ ३२ ॥
4,33,गुणानुरूपोन्नति पूर्णबोध इत्यमुष्य नाम द्विजवृन्दवन्दितः ।<BR> उदाहरद् भूरियशा हि केवलं न मन्त्रवर्णः स च मन्त्रवर्णकः॥३३॥
4,34,निरङ्गरागं मुखरागवर्जितं विभूषणं विष्टपभूषणायितम् ।<BR> अमुं धृताषाढमवेक्ष्य मेनिरे स्वभावशोभाऽनुपमेति जन्तवः॥ ३४॥
4,35,भुजङ्गभूतेशविहङ्गपादिकैः प्रवन्दितः सावसरप्रतीक्षणैः ।<BR> ननाम सोऽयं गुरुपूर्वकान् यतीनहो महीयो महतां विडम्बनम् ॥ ३५॥
4,36,वराश्रमाचारविशेषशिक्षणं विधित्सुरस्याचरितं निशामयन् ।<BR> विशेषशिक्षां स्वयमाप्य धीरधीर्यतीश्वरो विस्मयमायतान्तरम् ॥३६॥
4,37,स रौप्यपीठालयवासिने यदा ननाम नाथाय महामतिर्मुदा ।<BR> तदाऽमुनाऽग्राहि नरप्रवेशिना भुजे भुजेनाशु भुजङ्गशायिना॥३७॥
4,38,चिरात्सुतत्त्वं प्रबुभुत्सुना त्वया निषेवणं मे यदकारि तत्फलम् ।<BR> इमं ददामीत्यभिधाय सोऽमुना तदा प्रणीय प्रददेऽच्युतात्मने॥३८॥
4,39,अनुग्रहं तं प्रतिगृह्य सादरं मुदात्मनाप्तां कृतकृत्यतां स्मरन् ।<BR> अभूदसंगोऽपि स तत्सुसंगावानसंगभूषा ननु साधुसङ्गिता॥ ३९॥
4,40,यियासति स्वस्तटिनीं मुहुर्मुहुर्नमत्यनुज्ञार्थिनि भूरिचेतसि ।<BR> तमस्मरत् स्वामिनमेव दूनधीर्गुरुर्भविष्यद्विरहाग्निशङ्कया॥ ४० ॥
4,41,इतस्तृतीये दिवसे द्युनिम्नगा त्वदर्थमास्माकतटाकमाव्रजेत् ।<BR> अतो न याया इति तं तदाऽवदत्प्रविश्य कञ्चित् करुणाकरो हरिः॥४१॥
4,42,तदाज्ञयोपागतजाह्नवीजले जनोऽत्र सस्नौ सह पूर्णबुद्धिना ।<BR> ततः परं द्वादशवत्सरान्तरे सदा व्रजेत्सा तदनुग्रहाङ्किनी॥ ४२ ॥
4,43,गते दिनानां दशके समासके वराश्रमं प्राप्य सपत्रलम्बनम् ।<BR> जिगाय जैत्रान् बहुतर्ककर्कशान् स वासुदेवाह्वयपण्डितादिकान् ॥ ४३॥
4,44,गुरोः स्वशिष्यं चतुरं चिकीर्षतः प्रचोदनाच्छ्रोतुमिहोपचक्रमे ।<BR> अथेष्टसिद्धिश्छलजातिवारिधिर्निरादरेणापि महात्मनामुना॥ ४४ ॥
4,45,तदाद्यपद्यस्थमवद्यमण्डलं यदावदत् षोडशकद्वयात्मकम् ।<BR> उपर्यपास्तं तदिति ब्रुवत्यसौ गुरौ तमूचे प्रणिगद्यतामिति॥ ४५ ॥
4,46,भवत्प्रवक्तृत्वसमर्थता न मे सकोपमित्थं ब्रुवति व्रतीश्वरे ।<BR> अपीह मायासमये पटौ नृणां बभूव तद्दूषणसंशयाङ्कुरः॥ ४६ ॥
4,47,बुधोऽभिधानं श्रवणं बुधेतरो ध्रुवं विदध्याद्विमुमुक्षुरात्मनः ।<BR> यतिर्विशेषादिति लोकचोदनात्प्रवक्ति मायासमयं स्म पूर्णधीः ॥ ४७ ॥
4,48,अखण्डितोपन्यसनं विसंशयं ससम्प्रदायं प्रवचो दृढोत्तरम् ।<BR> समागमञ्छ्रोतुममुष्य साग्रहा जनाः श्रुताढ््याश्चतुरा बुभूषवः॥४८॥
4,49,गुरोरुपान्ते श्रवणे रतैर्द्विजैः सपञ्चषैर्भागवते कदाचन ।<BR> बहुप्रकारे लिखिते तु वाचिते प्रकारमेकं प्रभुरभ्यधाद्दृढम्॥ ४९ ॥
4,50,परप्रकारेष्वपि संभवत्सु ते विनिर्णयोऽस्मिन् कथमित्युदीरिते ।<BR> मुकुन्दबोधेन महाहृदब्रवीत्प्रकारमेनं भगवत्कृतं स्फुटम्॥ ५० ॥
4,51,निगद्यतां गद्यमिहैव पञ्चमे जगद्गुरोर्वेत्थ कृतिस्थितिं यदि ।<BR> इति ब्रुवाणे यतिसत्तमे स्वयं तदुक्तमार्गेण जगाद भूरिहृत्॥ ५१ ॥
4,52,अशेषशिष्यैश्च तदाज्ञया तदा परीक्षणायैक्षि समस्तपुस्तकम् ।<BR> स तत्र हन्तैकतमेक्षितं त्यजन्नतावदध्यायनिकायमभ्यधात्॥ ५२ ॥
4,53,अत्र जन्मनि न यत्पठितं ते जैत्र भाति कथमित्यमुनोक्ते ।<BR> पूर्वजन्मसु हि वेद पुरेदं सर्वमित्यमितबुद्धिरुवाच॥ ५३ ॥
4,54,इति बहुविधविश्वाश्चर्यचित्तप्रवृत्तेर्जगति विततिमापन्नूतनाप्यस्य कीर्तिः ।<BR> क्षपिततततमस्का भास्करीव प्रभालं सुजनकुमुदवृन्दानन्ददा चन्द्रिकेव ॥ ५४ ॥
5,1,वेदान्तविद्यानिजराज्यपालने सङ्कल्प्यमानो गुरुणा गरीयसि ।<BR> अदभ्रचेता अभिषिच्यते पुरा स वारिभिर्वारिजपूरितैरथ ॥ १ ॥
5,2,आनन्दरूपस्य परस्य पात्रधीरानन्दसन्दायिसुशास्त्रकृत्स यत् ।<BR> आनन्दतीर्थेति पदं गुरूदितं बभूव तस्यात्यनुरूपरूपकम्॥ २ ॥
5,3,कदाचिदत्रोपययौ यतिः सखा गोविन्दबुद्धेर्बहुशिष्यसंवृतः ।<BR> अमुष्य शिष्या अनुमानशिक्षितास्तदाऽजिगीषन् गुरुबुद्धिमुद्धताः ॥ ३ ॥
5,4,भिदा सुसाध्येत्यनुमानमत्र तैः प्रायुज्यताशु प्रतिपक्षभीषणम् ।<BR> अखण्डयद्य्वक्तमखण्डधीरिदं स पक्षदक्षः फणिनं विराडिव॥ ४ ॥
5,5,अथापि मिथ्या विमतं मतत्वतो विवादनिर्मुक्तवदित्यवादि तैः ।<BR> अनेन सत्यं विमतं मतत्वतो यथा घटादीत्यनुमा न्यगद्यत॥ ५ ॥
5,6,हेतोरतिव्याप्तिरवादि तैर्यदा सकौतुकैस्तूर्णमसावविस्मयः ।<BR> न शुक्तिरूप्यादि मतं यदन्यथा मतं तदित्यादि वदन् जिगाय तान् ॥६॥
5,7,तत्त्वेऽप्यतत्त्वे विमतेऽनुमां वदंस्तदप्रतिष्ठां प्रतिपादुकः स्वयम् ।<BR> विजित्य विश्वान्विदुषः सभास्वसौ जगाम नाम्नाप्यनुमानतीर्थताम् ॥७॥
5,8,समस्तवादीन्द्रगजप्रभङ्गदश्चरन्नवन्यां प्रतिपक्षकाङ्क्षया ।<BR> वेदद्विषां यः प्रथमः समाययौ सवादिसिंहोऽत्र स बुद्धिसागरः ॥ ८ ॥
5,9,तस्योरुदुर्गर्ववतो जिगीषया निशातमादत्त मुकुन्दधीर्द्रुतम् ।<BR> स्वशिष्यहस्तेन मठान्तेरेषुधेः सुपक्षदक्षं सुखतीर्थमार्गणम्॥ ९ ॥
5,10,जैत्रं प्रजिज्ञासु कुतूहलाकुलं नृणां कुलं प्रत्वरितं निशामयन् ।<BR> अवन्दतोपेत्य गुरुं गरिष्ठधीः स रूप्यपीठायतनोत्तमस्थितम्॥१०॥
5,11,स वादिसिंहस्य गिरं गरीयसीमखण्डयत्पण्डितमण्डलान्तरे ।<BR> तीक्ष्णेन वाक्येन मितेन वेगिना गदां शरेणेव विशारदो मुहुः ॥ ११ ॥
5,12,असावसूयन् द्विनवप्रकारतो व्यचीक्लृपत्कञ्चिदथार्थमुच्चकैः ।<BR> जगद्विजेतुश्च जये ससंशयस्तावज्जनोऽजायत पूर्णचेतसः॥ १२ ॥
5,13,विकल्पकोटीरथ खण्डयन् द्रुतं रेजेऽधिकं स्मेरमुखो बृहन्मतिः ।<BR> तमस्ततीर्वा द्युमणिर्विशुद्धया गवाश्रितो विष्णुपदं सदास्पदम् ॥ १३ ॥
5,14,अगाधमात्मन्यतिवेलमुद्धतं तिरस्कृताशेषसरस्वतीततिम् ।<BR> कामं महामानसकुम्भसम्भवो लघूचकारेत्यपि बुद्धिसागरम्॥१४॥
5,15,श्व एव वादोऽस्त्विति वादिनौ खलावद्योत्तरं भाति यदीर्यतामिति ।<BR> मध्वे ब्रुवाणेऽमत तौ जितौ जनः स निश्चिकायाथ निशापलायनात् ॥ १५ ॥
5,16,बुद्ध्यब्धिना वादिवरेण चार्जितां जयश्रियं भूपरिवर्तिना चिरात् ।<BR> अहो मुहूर्तादयमप्रयत्नवानवाप्तवानित्यतिविस्मितं जनैः॥ १६ ॥
5,17,व्याख्यन् कदाचिन्मणिमद्विनिर्मितं भाष्यं जनैस्तर्कविशारदैर्वृतः ।<BR> उवाच वाचं परिहासहासवान्सम्मोदतीर्थः सुरमोददायिनीम्॥१७॥
5,18,सत्सूत्रभावे प्रविचारिते पृथग्भाष्याभिसन्धौ च विशुद्धबुद्धिभिः ।<BR> निगृह्य गूढाग्रहमुग्रमेतयोर्मान्योऽन्वयोऽन्योन्यमहो न दृश्यते ॥ १८ ॥
5,19,इति ब्रुवाणे प्रतिपादयत्यलं भाष्येऽत्र दोषान्प्रबलान्मुहुर्मुहुः ।<BR> तस्मिंस्तु विस्मेरधियोऽपि यत्नतो न स्थेयसः पर्यहरन्निमानमी ॥ १९ ॥
5,20,नन्वस्य सूत्रस्य परोऽर्थ उच्यतां यद्भाष्यमात्रं भवता निरस्यते ।<BR> भवादृशैर्यः कविभिर्न दूष्यते कथञ्चनेत्यूचुरिमे वचस्विनः॥ २० ॥
5,21,अल्किष्टशब्दान्वयमेष संभवत्सूत्रार्थमुच्चैर्वचनं तदाददे ।<BR> मानीकृताम्नाययुतस्मृति क्षणादेष्यत्कथाताण्डवसूत्रधारकम्॥ २१॥
5,22,बुभुत्सया मत्सरवर्जिताञ्जनान्समत्सरान्वा विजिगीषयाऽऽगतान् ।<BR> श्रुतप्रवीणानतितार्किकान्मुहुर्भङ्ग्याऽनया भङ्गमुपानिनाय सः॥२२॥
5,23,कदाचिदेनं प्रतिगम्य सौम्यधीः स मध्यगेहार्यवरः प्रसेदिवान् ।<BR> हेतोः कुतश्चिद्विमनीकृतोऽप्यहो गुणाब्धिलुब्धः सुजनः प्रसीदति ॥ २३ ॥
5,24,तेजोऽमृतं नन्दनगात्रपात्रगं नेत्राञ्जलिभ्यामपिबत्सदाव्ययम् ।<BR> विद्यासुधां चास्य वचोमहाघटे पूर्णामसौ कर्णपुटेन पण्डितः॥२४॥
5,25,लीलाविवादे गुरुणा जगद्गुरोः प्रसङ्गतस्तत्र च तादृशे सति ।<BR> सूत्रार्थविच्चेत्कुरु भाष्यमञ्जसेत्याक्षेपपूर्वं गुरुरभ्यधादिमम्॥ २५ ॥
5,26,विधानमात्रं तदुपाददे तदा पयो यथाच्छं परमः स हंसराट् ।<BR> तल्लीनमाक्षेपमुपैक्षताफलं वारीव सन्तो हि गुणांशतोषिणः॥ २६ ॥
5,27,वैराग्यवैयात्यसुवाक्त्वपूर्वकैर्युक्तो गुणैः पारमहंस्यभूषणैः ।<BR> ज्येष्ठो यतिर्यो लिकुचान्वयोद्भवस्तं भूरिभक्तिः स कदाचिदब्रवीत् ॥२७॥
5,28,विरोधि वेदान्तकृतान्तसम्पदां भाष्यादिकं चेदिदमस्तु का क्षतिः ।<BR> अस्मभ्यमाचक्ष्व विचक्षणोचितं भावं तु सूत्रोपनिषद्विवक्षितम् ॥२८॥
5,29,इत्यस्य वाचा शरदेव भासिता यदाऽखिलाशा शुभपूर्णया बभौ ।<BR> प्रमोदतीर्थाननचन्द्रचन्द्रिका व्याख्याभिधा विष्णुपदप्रकाशिनी ॥ २९ ॥
5,30,जेष्यन्कदाचित्किल कालपालितां दिशं प्रयातोऽच्युतबुद्धिना सह ।<BR> समग्रधीर्मण्डितविष्णुमङ्गलं विष्णुं जगन्मङ्गलमाननाम सः ॥ ३० ॥
5,31,भिक्षाप्रदात्राऽत्र परीक्षितुं मुहुर्दत्ते प्रभुक्ते कदलीफलोच्चये ।<BR> अनेन निर्यत्नमवार्यविस्मयस्तमार्यवर्यं विजनेऽवदद् गुरुः॥ ३१ ॥
5,32,भिक्षावसाने द्विशताधिकैः फलैर्व्यूढैः प्रभुक्तैः परिपूरितेऽपि ते ।<BR> तनूदरे नास्ति गरिष्ठता कथं सुचित्त सत्यं वदताद्भवानिति॥ ३२ ॥
5,33,अङ्गुष्ठमात्रं जठरे प्रतिष्ठितं जाज्वल्यमानं मम जातवेदसम् ।<BR> नित्यं हितं विश्वदहं च वित्त तं विश्वेशचेता इति सोऽब्रवीत्तदा ॥ ३३ ॥
5,34,पर्याकुलानेकसरस्वतीततीन् न्यायोपपन्नान् विविधार्थसंयुतान् ।<BR> अतीत्य देशान् समयांश्च चारुधीरसौ जगामाभिमतेन वर्त्मना॥३४॥
5,35,स्वहेलया पातितपार्थिवव्रजां धीशुद्धिदां केरलभूषणायिताम् ।<BR> पयस्विनीं प्रेक्ष्य पथि द्विजार्चितां स भाविनीमस्मरदत्र चण्डिकाम् ॥ ३५ ॥
5,36,ततः क्रमेण प्रचलन्नुपेयिवानवन्दतेन्दीवरसुन्दरच्छविम् ।<BR> अम्भोजनाभं स भुजङ्गशायिनं श्रीवल्लभं श्रीमदनन्तसत्पुरे॥ ३६ ॥
5,37,वेदान्तसूत्राणि कृतान्तवित्तमो व्याख्यादसौ शिष्यगणाय संसदि ।<BR> विलक्षणं जीवगणाद्गुणार्णवं ब्रह्माच्युताख्यं प्रतिपादयन्मुहुः॥३७॥
5,38,अप्रांशुनूत्नोपपदाधिवासजः स सङ्करो वैरपरायणः पुनः ।<BR> असूययोचेऽत्र महानतिक्रमः सूत्रार्थवादोऽकृतभाष्यकेष्विति॥३८॥
5,39,वदोत्तरं भाति यदीह कुर्महे भाष्यं कृतिर्नास्य हि दण्डवारिता ।<BR> जगद्गुरूणामिति तां गुरोर्गिरं जनः समस्तोऽभिननन्द सस्मिताम् ॥३९॥
5,40,प्राज्ञैर्महापूरुषसर्वलक्षणैः सम्पन्नदेहोऽयमितीरिते प्रभौ ।<BR> परे परस्याप्यतिपीनतादृशः स्फिद्गात्रसंशंसनमत्र चक्रिरे॥ ४० ॥
5,41,स्फिग्दूषणानि प्रतिपादयत्यलं सम्पूर्णसङ्ख्येऽस्य तु लक्ष्मशास्त्रतः ।<BR> तद्दण्डसङ्खण्डनसंश्रवं व्यधात्तदक्षमोऽसौ प्रकृतिर्हि साऽसताम् ॥ ४१ ॥
5,42,स्नात्वाऽत्र तीर्थेष्वचिरेण कन्यकातीर्थे सुतीर्थे सुखतीर्थ आप्लुतः ।<BR> समुद्रसेतौ च निमज्य विष्णवे श्रीरामनाथाय नमश्चकार सः॥४२॥
5,43,तमाव्रजन्तं यतिवेषधारिणं (मासुरं) दण्डं प्रकाश्यैष हसन्नभाषत ।<BR> खण्ड््येत दण्डो यदि चण्ड न त्वया त्वं षण्डकोऽपण्डित वन्ध्यवागिति ॥ ४३ ॥
5,44,लज्जानतः स्वार्थमथार्थयन्नसन्नुपैक्षतासौ द्विजनायकैस्तदा ।<BR> आनन्दयन्तं वदनेन्दुना जगत्तं द्वेष्टि कः प्राज्ञमिहेति वादिभिः ॥ ४४ ॥
5,45,या याः प्रसक्ताः परिषत्सु पूरुषैर्विद्याविदग्धैर्विविधैः समागमे ।<BR> स तासु तासु प्रतिभाति भासुरो विद्यासु विद्याधिपतिर्जिगाय तान् ॥ ४५ ॥
5,46,अचाल्यमानः सगुरुः स चापलैरसज्जनानामबलीयसामिह ।<BR> उवास मासांश्चतुरो महामनाः सिंहो गुहान्तोपगतः शुनामिव ॥ ४६ ॥
5,47,शृङ्गारसिन्धुं स भुजङ्गशायिनं श्रीरङ्गवासं कृतमङ्गलं सताम् ।<BR> अमन्दधीर्देवमवन्दतागतः कवेरकन्याहिमवायुसेवितम्॥ ४७ ॥
5,48,ततो निवृत्तः परमेव पूरुषं प्रणम्य नानायतनेषु सञ्चरन् ।<BR> प्रकाशयन् स्वातिशयानमानुषानाशामुदीचीं प्रययावसौ क्रमात् ॥ ४८ ॥
5,49,ततस्ततो विस्मितलोचनैर्नरैर्निरीक्ष्यमाणोऽतिसुलक्षणाकृतिः ।<BR> ग्रामोत्तमान् प्राप्य पयस्विनीतटे विवेश देवायतनं स किञ्चन ॥ ४९ ॥
5,50,अधीत्य धर्मेण षडङ्गमागमं तदर्थसंवर्णननिर्णयान्विताः ।<BR> प्रापुर्द्विजेन्द्रास्तमपूर्वपूरुषं जिज्ञासवः सुप्रथितं जगत्त्रये॥ ५० ॥
5,51,सुस्मितेन्दुमरविन्दलोचनं स्वर्णवर्णमतिभद्रभाषणम् ।<BR> वीतभूषमपि विश्वभूषणं तं दिदृक्षुरलमापतज्जनः॥ ५१ ॥
5,52,विद्योरुद्युतिधीरतारकतिरस्कारे पतङ्गायितो दुर्वादीभकुतर्ककुम्भदलने सिंहप्रबर्हायितः ।
5,53,लोलालोककलोकदृक्कुमुदिनीसंह्लादनेऽब्जायितः संसन्मण्डलमण्डनायितवपुः स्वानन्दतीर्थो बभौ ॥ ५२ ॥
6,1,ऐतरेयमथ किञ्चन सूक्तं सूचयन् सदसि तत्र गरिष्ठः ।<BR> श्रोतुमिच्छति सभा भगवद्भ्यः सूक्तभावमिति तावदुवाच॥ १ ॥
6,2,वर्णसौष्ठवगरिष्ठमतूर्णं तुल्यमात्रमतिमात्रसुलक्ष्म ।<BR> व्यूढहृज्जलदघोषममुष्योच्चारणं विदधदभ्यधितार्थम् ॥ २ ॥
6,3,लक्षणान्विततया वचनेऽस्मिन् देवतागुरुमसावतिशेते ।<BR> मानमित्यपि विधाय धिया ते तत्तु सूक्तमपरार्थमवोचन् ॥ ३ ॥
6,4,स्यात्तथेत्थमपि सम्भवितार्थस्त्र्यर्थतां श्रुतिषु वित्त दशार्थम् ।<BR> भारतं ननु शतार्थमपि स्याद्वैष्णवं पदसहस्रतयं हि ॥ ४ ॥
6,5,इत्युदीरयति विस्तृतचित्ते भूसुरा इह जिगीषव एनम् ।<BR> ऊचुरर्थशतकं हरिनाम्नां वर्ण्यतामिति सहासमुखास्ते ॥ ५ ॥
6,6,वर्णयामि तदहं सकलं वः सौष्ठवादनुवदन्तु भवन्तः ।<BR> तं वदन्तमिति तेऽथ वदन्तो बाढमित्यतिदृढोद्यममापुः ॥ ६ ॥
6,7,प्रत्ययप्रकृतिसङ्गमभङ्गीं शब्दशास्त्रविहितां प्रतिदर्श्य ।<BR> शुद्धधीः श्रुतिशिरःशतसिद्धानभ्यधात्सपदि विश्वपदार्थान् ॥ ७ ॥
6,8,यावदर्थशतकं न विशङ्कः सन्ततोक्तिकृदपूरयदेषः ।<BR> वर्णितावधृतिदुर्बलचित्तास्तावदाकुलहृदो ह्मभवंस्ते ॥ ८ ॥
